sep=,
Sitecore.Speak.Integration.Spa.dll,2.0.0.0,2.0.0.0
Sitecore.Speak.ItemWebApi.dll,4.0.0.0,4.0.0.0
Sitecore.Speak.Web.dll,4.0.0.0,4.0.0.0
Sitecore.Update.dll,4.0.0.0,4.0.0.0
Sitecore.UpdateCenter.Core.dll,2.0.0.0,2.0.0.0
Sitecore.UpdateCenter.dll,2.0.0.0,2.0.0.0
Sitecore.UpdateCenter.ServiceClient.dll,2.0.0.0,2.0.0.0
Sitecore.Web.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Client.Configuration.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Client.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Collection.Model.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.DependencyInjection.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.DependencyInjection.Web.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Diagnostics.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Logging.Serilog.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Search.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Security.Web.dll,3.0.0.0,3.0.0.0
Sitecore.XConnect.Segmentation.Conditions.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.Engine.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.ExpressionBuilder.Model.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.Predicates.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Segmentation.Predicates.Model.dll,5.0.0.0,5.0.0.0
Sitecore.XConnect.Service.dll,2.0.0.0,2.0.0.0
Sitecore.XConnect.Service.Plugins.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Client.dll,12.0.0.0,12.0.0.0
Sitecore.Xdb.Collection.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Common.Web.dll,3.0.3.0,3.0.0.0
Sitecore.Xdb.Configuration.dll,12.0.0.0,12.0.0.0
Sitecore.Xdb.MarketingAutomation.Core.dll,3.1.0.0,3.1.0.0
Sitecore.Xdb.MarketingAutomation.Locators.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.MarketingAutomation.Locators.Xmgmt.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.MarketingAutomation.OperationsClient.Configuration.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.MarketingAutomation.OperationsClient.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.MarketingAutomation.ReportingClient.Configuration.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.MarketingAutomation.ReportingClient.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.MarketingAutomation.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.MarketingAutomation.Tracking.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Processing.ContactMerge.dll,12.0.0.0,12.0.0.0
Sitecore.Xdb.Processing.ContactMerge.UI.dll,12.0.0.0,12.0.0.0
Sitecore.Xdb.Processing.Queue.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Processing.Queue.SqlServer.dll,2.0.1.0,2.0.0.0
Sitecore.Xdb.ReferenceData.Client.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.Client.Xmgmt.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.Core.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.Service.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.Service.Xmgmt.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.SqlServer.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.ReferenceData.SqlServer.Xmgmt.dll,2.0.0.0,2.0.0.0
Sitecore.Xdb.Reporting.dll,12.0.0.0,12.0.0.0
Sitecore.Xdb.Sql.Common.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.Sql.Common.Xmgmt.dll,3.0.0.0,3.0.0.0
Sitecore.Xdb.Tracking.Client.dll,12.0.0.0,12.0.0.0
Sitecore.Zip.dll,12.0.0.0,12.0.0.0
SolrNet.dll,1.0.8.0,1.0.8.0
StackExchange.Redis.StrongName.dll,1.2.6.0,1.2.6.0
System.Buffers.dll,4.6.26515.6,4.0.3.0
System.ComponentModel.Annotations.dll,4.6.26515.6,4.2.1.0
System.Configuration.ConfigurationManager.dll,4.6.26515.6,4.0.1.0
System.Data.SqlClient.dll,4.6.26606.5,4.4.0.0
System.IdentityModel.Tokens.Jwt.dll,5.2.2.50423,5.2.2.0
System.Interactive.Async.dll,3.1.1.0,3.0.3000.0
System.Interactive.Async.Providers.dll,3.1.1.0,3.0.1000.0
System.IO.FileSystem.Primitives.dll,4.6.24705.1,4.0.2.0
System.IO.Packaging.dll,1.0.24212.1,4.0.0.0
System.Memory.dll,4.6.26606.5,4.0.1.0
System.Net.Http.Extensions.Compression.Core.dll,2.0.3.0,2.0.0.0
System.Net.Http.Formatting.dll,5.2.60510.0,5.2.6.0
System.Numerics.Vectors.dll,4.6.26515.6,4.1.4.0
