
Sitecore XConnect Server
Filename,FileVersion,Version
Microsoft.Rest.ClientRuntime.dll,2.3.8.0,2.0.0.0
Microsoft.SqlServer.Management.AlwaysEncrypted.AzureKeyVaultProvider.dll,14.0.16107.0,14.0.0.0
Newtonsoft.Json.dll,11.0.2.21924,11.0.0.0
Rebus.dll,4.2.1.0,4.2.1.0
Rebus.SqlServer.dll,4.0.0.0,4.0.0.0
Remotion.Linq.dll,2.2.0.30000,2.2.0.0
Serilog.dll,2.6.0.0,2.0.0.0
Serilog.Extensions.Logging.dll,2.0.2.0,2.0.0.0
Serilog.Settings.Configuration.dll,2.6.1.0,2.6.1.0
Serilog.Sinks.ApplicationInsights.dll,2.6.0.0,2.6.0.0
Serilog.Sinks.File.dll,4.0.0.0,2.0.0.0
Serilog.Sinks.RollingFile.dll,3.3.0.0,2.0.0.0
Serilog.Sinks.Trace.dll,2.1.0.0,2.0.0.0
Sitecore.ContentTesting.ML.Core.Abstractions.dll,1.0.0.0,1.0.0.0
Sitecore.ContentTesting.ML.Core.dll,1.0.0.0,1.0.0.0
Sitecore.ContentTesting.ML.dll,1.0.0.0,1.0.0.0
Sitecore.ContentTesting.Reporting.Model.dll,13.0.0.0,13.0.0.0
Sitecore.EmailCampaign.Core.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.Model.dll,7.0.0.0,7.0.0.0
Sitecore.EmailCampaign.XConnect.dll,7.0.0.0,7.0.0.0
Sitecore.Framework.Conditions.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Configuration.Abstractions.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Common.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Configuration.Extensions.dll,5.2.0.0,5.2.0.0
Sitecore.Framework.Messaging.Abstractions.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Configuration.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.Configuration.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.Messaging.Rebus.SqlServer.dll,3.1.0.0,3.1.0.0
Sitecore.Framework.TransientFaultHandling.Abstractions.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.EntLib.dll,2.1.0.0,2.1.0.0
Sitecore.Framework.TransientFaultHandling.Sql.dll,2.1.0.0,2.1.0.0
